"id","region","state","locality","site_name","latitude","longitude","protection","popularity","length_sca","n_marinas_","size","marina_id","ocean_acce","land_acces","accessibil","geometry"
25,"Gulf of Mexico","VERACRUZ","VERACRUZ","AOGADO_DEL_ARQUITECTO_GOGLE",19.22146645,-96.05792675,"Into MPA","1","2.530520025","1.724137931","3","6","4.254657956","7.5","31.90993467",c(-96.05792675, 19.22146645)
26,"Mexican Pacific","COLIMA","MANZANILLO","AQUARIUM",19.10130374,-104.3917058,"Not protected","4","3.587526719","0.689655172","1","208","4.277181892","8.125","34.75210287",c(-104.3917058, 19.10130374)
27,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","ARCO_SAN_LUCAS",22.876139,-109.892835,"Into MPA","8","3.499458101","0.172413793","3","17","3.671871894","9.375","34.42379901",c(-109.892835, 22.876139)
28,"Yucatan Peninsula","QUINTANA_ROO","PLAYA_DEL CARMEN","ARENAL_DE_LA_GORDA",20.645165,-86.921769,"Into MPA","3","2.354014298","2.24137931","2","382","4.595393609","6.875","31.59333106",c(-86.921769, 20.645165)
29,"Yucatan Peninsula","QUINTANA_ROO","CANCUN","ARISTOS",21.12118059,-86.7417447,"Into MPA","17","3.411648438","4.827586207","2","367","8.239234645","8.75","72.09330315",c(-86.7417447, 21.12118059)
30,"Yucatan Peninsula","YUCATAN","MERIDA","ARRECIFE_ALACRANES",22.378604,-89.687774,"Not take zone","3","1.008131045","0","3","346","1.008131045","6.875","6.930900934",c(-89.687774, 22.378604)
31,"Gulf of Mexico","VERACRUZ","VERACRUZ","ARRECIFE_CABEZO",19.15617924,-95.85450386,"Into MPA","13","2.076496215","0.862068966","0","302","2.93856518","7.5","22.03923885",c(-95.85450386, 19.15617924)
32,"Gulf of Mexico","VERACRUZ","NARANJOS","ARRECIFE_DE_ENMEDIO",21.517131,-97.244703,"Into MPA","5","1.689143725","0.172413793","1","276","1.861557518","7.5","13.96168139",c(-97.244703, 21.517131)
33,"Yucatan Peninsula","QUINTANA_ROO","AKUMAL","ARRECIFE_DICK",20.39994895,-87.3064469,"Into MPA","NA","NA","NA","NA","NA","NA","NA","NA",c(-87.3064469, 20.39994895)
34,"Yucatan Peninsula","QUINTANA_ROO","AKUMAL","ARRECIFE_GONZALO",20.39102726,-87.30866686,"Into MPA","3","4.155488465","0.689655172","0","387","4.845143637","6.875","33.3103625",c(-87.30866686, 20.39102726)
35,"Yucatan Peninsula","QUINTANA_ROO","CONTOY","ARRECIFE_IXLACHE",21.475737,-86.791213,"Into MPA","1","2.099479419","0.172413793","2","354","2.271893212","6.875","15.61926584",c(-86.791213, 21.475737)
36,"Northwest Mexico","BAJA_CALIFORNIA SUR","CABO_PULMO","ARRECIFE_MARIO",23.425523,-109.404161,"Not take zone","26","2.682203143","0.172413793","0","117","2.854616936","4.375","12.48894909",c(-109.404161, 23.425523)
37,"Gulf of Mexico","VERACRUZ","VERACRUZ","ARRECIFE_PAJAROS",19.19014331,-96.08896861,"Into MPA","14","2.938127324","1.896551724","3","6","4.834679048","7.5","36.26009286",c(-96.08896861, 19.19014331)
38,"Gulf of Mexico","VERACRUZ","VERACRUZ","ARRECIFE_POLO",19.05673923,-95.92012018,"Into MPA","14","2.664938509","1.724137931","0","302","4.38907644","7.5","32.9180733",c(-95.92012018, 19.05673923)
39,"Gulf of Mexico","VERACRUZ","VERACRUZ","ARRECIFE_RIZO",19.10365328,-95.93640154,"Into MPA","13","2.612151621","1.724137931","0","301","4.336289552","7.5","32.52217164",c(-95.93640154, 19.10365328)
40,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","ARRECIFE_SACRAMENTO",30.070567,-115.842035,"Not protected","1","1.609087536","0","2","96","1.609087536","0","0",c(-115.842035, 30.070567)
41,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","ARRECIFE_SAN_MIGUEL",31.905883,-116.75336,"Not protected","1","2.807000268","0.862068966","3","46","3.669069234","8.125","29.81118752",c(-116.75336, 31.905883)
42,"Gulf of Mexico","VERACRUZ","TUXPAN","ARRECIFE_TUXPAN",21.037356,-97.191138,"Into MPA","9","2.21925264","0.689655172","1","286","2.908907812","6.875","19.99874121",c(-97.191138, 21.037356)
43,"Yucatan Peninsula","QUINTANA_ROO","ISLA_MUJERES","ATLANTIS",21.19960467,-86.7072987,"Into MPA","3","2.912586154","5","3","24","7.912586154","9.375","74.1804952",c(-86.7072987, 21.19960467)
44,"Yucatan Peninsula","QUINTANA_ROO","AKUMAL","AVENTURAS_REEF",20.378616,-87.320584,"Into MPA","NA","NA","NA","NA","NA","NA","NA","NA",c(-87.320584, 20.378616)
45,"Northwest Mexico","SONORA","PUERTO_PENASCO","BAH<U+FFFD>A_LA_CHOYA",31.343953,-113.643244,"Not protected","2","2.800530082","0.344827586","1","141","3.145357668","2.5","7.86339417",c(-113.643244, 31.343953)
46,"Northwest Mexico","BAJA_CALIFORNIA SUR","LA_PAZ","BAJITO",24.598885,-110.404369,"Not take zone","1","1.703869227","0","0","131","1.703869227","1.25","2.129836534",c(-110.404369, 24.598885)
47,"Northwest Mexico","BAJA_CALIFORNIA SUR","LA_PAZ","BAJO",24.687731,-110.262588,"Not protected","67","1.56208381","0","0","131","1.56208381","1.25","1.952604763",c(-110.262588, 24.687731)
48,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","BAJO_DE_90",22.986792,-109.72093,"Not protected","2","2.424490107","0.172413793","3","23","2.5969039","9.375","24.34597406",c(-109.72093, 22.986792)
49,"Northwest Mexico","JALISCO","PUERTO_VALLARTA","BAJO_DE_CRISTO",20.547706,-105.290045,"Not protected","3","2.820637074","1.034482759","0","88","3.855119833","9.375","36.14174843",c(-105.290045, 20.547706)
50,"Northwest Mexico","JALISCO","PUERTO_VALLARTA","BAJO_DE_LA_MANTA",20.697459,-105.554919,"Not protected","3","2.402914225","0.344827586","3","73","2.747741812","8.75","24.04274085",c(-105.554919, 20.697459)
51,"Mexican Pacific","GUERRERO","ACAPULCO","BAJO_LA_QUEBRADA",16.843479,-99.922457,"Not protected","4","2.841921044","0.344827586","3","26","3.18674863","9.375","29.87576841",c(-99.922457, 16.843479)
52,"Northwest Mexico","BAJA_CALIFORNIA SUR","CABO_PULMO","BAJO_LOS_MEROS",23.445924,-109.414039,"Not take zone","51","2.507421003","0.172413793","0","117","2.679834796","4.375","11.72427723",c(-109.414039, 23.445924)
53,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","BAJO_SAN_JOSE",31.40407558,-116.5643887,"Not protected","1","1.668178918","0","0","94","1.668178918","4.375","7.298282766",c(-116.5643887, 31.40407558)
54,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","BAJO_SAN_MIGIEL",31.842316,-116.779534,"Into MPA","1","2.42072462","0.862068966","3","46","3.282793585","8.125","26.67269788",c(-116.779534, 31.842316)
55,"Northwest Mexico","SONORA","GUAYMAS","BAJO_SUBAMRINO",27.9248782,-111.0384671,"Not protected","5","3.165912056","1.896551724","3","148","5.06246378","8.75","44.29655807",c(-111.0384671, 27.9248782)
56,"Yucatan Peninsula","QUINTANA_ROO","COZUMEL","BAJOS_DE_MOLAS",20.590379,-86.740331,"Into MPA","27","2.158647849","0.344827586","1","389","2.503475435","8.125","20.34073791",c(-86.740331, 20.590379)
57,"Northwest Mexico","BAJA_CALIFORNIA SUR","LA_PAZ","BALLENA",24.482352,-110.399837,"Into MPA","65","1.889620548","0","3","29","1.889620548","5.625","10.62911558",c(-110.399837, 24.482352)
58,"Yucatan Peninsula","QUINTANA_ROO","TULUM","BALLENA",20.20932,-87.409071,"Into MPA","1","3.200436691","0.344827586","0","401","3.545264277","7.5","26.58948208",c(-87.409071, 20.20932)
59,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","BALLENA_CSL",22.902206,-109.842622,"Not protected","11","2.541039071","0.172413793","3","17","2.713452864","9.375","25.4386206",c(-109.842622, 22.902206)
60,"Yucatan Peninsula","QUINTANA_ROO","CANCUN","BANDERAS",21.16762848,-86.73085468,"Into MPA","22","2.968582421","5","1","379","7.968582421","6.875","54.78400414",c(-86.73085468, 21.16762848)
61,"Yucatan Peninsula","QUINTANA_ROO","CANCUN","BARBONES",21.175825,-86.712265,"Into MPA","2","2.76343373","5","1","379","7.76343373","6.875","53.37360689",c(-86.712265, 21.175825)
62,"Gulf of Mexico","VERACRUZ","VERACRUZ","BARCO_DE_VALIENTES",19.08407383,-95.85741823,"Into MPA","1","2.212645455","0.862068966","0","302","3.07471442","7.5","23.06035815",c(-95.85741823, 19.08407383)
63,"Yucatan Peninsula","QUINTANA_ROO","CONTOY","BARCO_HUNDIDO_CONTOY",21.451658,-86.783824,"Into MPA","1","2.184602117","0.172413793","2","354","2.357015911","6.875","16.20448439",c(-86.783824, 21.451658)
64,"Mexican Pacific","OAXACA","HUATULCO","BARQUITO",15.73951927,-96.12339052,"Not protected","8","3.387400406","0.344827586","3","226","3.732227992","8.75","32.65699493",c(-96.12339052, 15.73951927)
65,"Northwest Mexico","BAJA_CALIFORNIA SUR","CABO_PULMO","BARRA_DE AFUERA",23.42804762,-109.4199657,"Not take zone","21","2.652406377","0.172413793","0","117","2.82482017","4.375","12.35858824",c(-109.4199657, 23.42804762)
66,"Northwest Mexico","BAJA_CALIFORNIA SUR","LA_PAZ","BARRA_FLOR_MONTALVA",24.17376975,-111.1782483,"Not protected","1","0.984374259","0","1","77","0.984374259","6.25","6.152339121",c(-111.1782483, 24.17376975)
67,"Yucatan Peninsula","QUINTANA_ROO","PLAYA_DEL CARMEN","BARRACUDA",20.58030268,-87.1114111,"Into MPA","58","3.339710124","2.75862069","2","39","6.098330813","6.25","38.11456758",c(-87.1114111, 20.58030268)
68,"Yucatan Peninsula","QUINTANA_ROO","COZUMEL","BARRACUDA_REEF",20.54273303,-86.93723917,"Not protected","65","3.588853475","3.103448276","3","388","6.692301751","7.5","50.19226313",c(-86.93723917, 20.54273303)
69,"Northwest Mexico","SONORA","GUAYMAS","BEACH",27.973833,-111.378059,"Not protected","8","1.900370079","0","1","147","1.900370079","5.625","10.6895817",c(-111.378059, 27.973833)
70,"Gulf of Mexico","VERACRUZ","TUXPAN","BLAKE",20.752479,-96.935141,"Not protected","2","1.824187062","0","0","49","1.824187062","5","9.120935311",c(-96.935141, 20.752479)
71,"Gulf of Mexico","VERACRUZ","VERACRUZ","BLANQUILLA_BOYA_CENTRO",19.22477453,-96.10060821,"Into MPA","1","2.986212407","1.724137931","3","6","4.710350338","7.5","35.32762754",c(-96.10060821, 19.22477453)
72,"Gulf of Mexico","VERACRUZ","VERACRUZ","BLANQUILLA_LADO_DE_AFUERA",19.22348263,-96.09434704,"Into MPA","1","2.913280993","1.724137931","3","6","4.637418924","7.5","34.78064193",c(-96.09434704, 19.22348263)
73,"Gulf of Mexico","VERACRUZ","VERACRUZ","BLANQUILLA_NORTE",19.22585706,-96.10135011,"Into MPA","1","2.909695193","1.724137931","3","6","4.633833124","7.5","34.75374843",c(-96.10135011, 19.22585706)
74,"Gulf of Mexico","VERACRUZ","VERACRUZ","BLANQUILLA_SUR",19.22215064,-96.09728296,"Into MPA","1","2.986212407","1.724137931","3","6","4.710350338","7.5","35.32762754",c(-96.09728296, 19.22215064)
75,"Yucatan Peninsula","QUINTANA_ROO","XCALAK","BLANQUIZAR",18.37606812,-87.77342779,"Into MPA","2","2.258983352","0.344827586","1","409","2.603810938","5","13.01905469",c(-87.77342779, 18.37606812)
76,"Yucatan Peninsula","QUINTANA_ROO","XCALAK","BLANQUIZARES",18.24526317,-87.79998515,"Into MPA","2","2.764591867","0.344827586","1","89","3.109419453","5","15.54709727",c(-87.79998515, 18.24526317)
77,"Gulf of Mexico","VERACRUZ","NARANJOS","BLANQUZALES",21.544488,-97.277978,"Into MPA","5","1.669580338","0.344827586","1","276","2.014407925","7.5","15.10805943",c(-97.277978, 21.544488)
78,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","BLOW_HOLE",22.933601,-109.805527,"Not protected","16","2.244258796","0.344827586","3","17","2.589086382","9.375","24.27268483",c(-109.805527, 22.933601)
79,"Yucatan Peninsula","QUINTANA_ROO","MAHAHUAL","BLUE_HA_REEF",18.70543977,-87.70531654,"Into MPA","2","4.077510443","0.517241379","1","408","4.594751823","7.5","34.46063867",c(-87.70531654, 18.70543977)
