"region","site_name","popularity","ocean_acce","richness","OA","AM","PP"
"Gulf of Mexico","TUX_ENMEDIO",7,3.194002635,NA,0,1,0
"Yucatan Peninsula","TWO_STEP",6,2.417712822,5837,0,0,1
"Yucatan Peninsula","TZIMINA_HA",3,4.278364335,NA,0,1,0
"Northwest Mexico","VENCEDOR",50,2.667303202,3805,0,0,1
"Yucatan Peninsula","VILLA_BLANCA",0,0,6244,0,1,0
"Mexican Pacific","VIOLIN",16,3.586221703,2847,0,1,0
"Gulf of Mexico","VIRGEN",3,4.274050396,5065,0,1,0
"Northwest Mexico","WESTGATE",1,1.207954168,698,1,0,0
"Northwest Mexico","WINDOW_ROCK",6,4.73848333,3647,1,0,0
"Yucatan Peninsula","XAAK",4,3.571857466,NA,0,1,0
"Yucatan Peninsula","XACALACOCO",9,4.181753856,6244,0,1,0
"Yucatan Peninsula","XPALBARCO",1,3.658330298,6244,0,1,0
"Yucatan Peninsula","XPU_HA_CA<U+FFFD>ON",2,3.730323328,6244,0,1,0
"Yucatan Peninsula","YAIKU",8,3.743008593,NA,0,1,0
"Yucatan Peninsula","YAIKU_NORTH",0,0,NA,0,1,0
"Northwest Mexico","YELAPA",1,4.201601489,3811,1,0,0
"Yucatan Peninsula","YOLKANAL",0,0,NA,1,0,0
"Yucatan Peninsula","YUCAB_REEF",87,6.524489569,6244,0,0,1
"Mexican Pacific","YUNQUE",6,3.869134093,1770,1,0,0
"Yucatan Peninsula","ZAC_BAJO",3,8.432186524,6039,0,0,1
"Northwest Mexico","ZACATITOS",2,2.524289735,3513,1,0,0
"Mexican Pacific","ZACATOSO",1,4.191318788,1770,1,0,0
"Northwest Mexico","ZORRO'S_CAVE/LALO ROCK",5,4.375814186,3647,1,0,0
