"locality","lat","long","total_rev"
"PUNTA MITA",20.791328,-105.49172,NA
"PUNTA MITA",20.781751,-105.530201,NA
"PUNTA MITA",20.782862,-105.52678,NA
"SAYULITA",20.925815,-105.39,30816
"SAYULITA",20.870245,-105.436639,30816
"TEPIC",21.555348,-104.921673,NA
"MAZATLAN",23.262781,-106.464741,NA
"GUAYMAS",27.963479,-111.0284,292680
"GUAYMAS",27.959438,-111.037179,501120
"GUAYMAS",27.947829,-111.053539,684000
"HERMOSILLO",29.103535,-110.958115,20304
"MIGUEL COLORADO",18.78623,-90.660569,NA
"CANCUN",21.139769,-86.769875,998400
"CANCUN",21.084025,-86.774769,998400
"CANCUN",21.140109,-86.769907,998400
"CANCUN",21.143477,-86.791025,998400
"CANCUN",21.143255,-86.78209,998400
"CANCUN",21.079757,-86.776434,998400
"CANCUN",21.143365,-86.790974,998400
"CANCUN",21.143577,-86.781768,998400
"CANCUN",21.143635,-86.791348,998400
"CANCUN",21.143381,-86.774753,998400
"CANCUN",21.136116,-86.742804,998400
"CANCUN",21.150061,-86.822852,998400
"CANCUN",21.17629,-86.871917,998400
"COZUMEL",20.508088,-86.952621,865665.123966942
"COZUMEL",20.497954,-86.956544,865665.123966942
"COZUMEL",20.482132,-86.972067,865665.123966942
"COZUMEL",20.508372,-86.949509,865665.123966942
"COZUMEL",20.492042,-86.966068,1738800
"COZUMEL",20.512449,-86.947654,619150
"COZUMEL",20.509223,-86.937208,865665.123966942
"COZUMEL",20.4880848496292,-86.9681217686471,865665.123966942
"COZUMEL",20.861243,-86.900818,183870
"COZUMEL",20.511341,-86.949082,865665.123966942
"COZUMEL",20.508264,-86.950864,865665.123966942
"COZUMEL",20.483035,-86.97189,865665.123966942
"COZUMEL",20.467242,-86.979698,865665.123966942
"COZUMEL",20.507894,-86.949764,498000
"COZUMEL",20.507944,-86.949754,417600
"COZUMEL",20.496423,-86.94755,92650
"COZUMEL",20.50956,-86.950052,865665.123966942
"COZUMEL",20.500979,-86.953719,865665.123966942
"COZUMEL",20.506553,-86.956367,865665.123966942
"COZUMEL",20.508728,-86.948537,110880
"COZUMEL",20.478936,-86.974419,865665.123966942
"COZUMEL",20.467009,-86.980411,865665.123966942
"COZUMEL",20.465588,-86.980549,865665.123966942
"COZUMEL",20.509062,-86.948681,865665.123966942
"COZUMEL",20.507212,-86.952274,177840
"COZUMEL",20.534484,-86.938268,865665.123966942
"COZUMEL",20.498571,-86.957219,865665.123966942
"COZUMEL",20.527987,-86.938922,865665.123966942
"COZUMEL",20.510225,-86.94778,865665.123966942
"COZUMEL",20.504423,-86.952479,43696
"COZUMEL",20.487966,-86.968054,865665.123966942
"COZUMEL",20.446346,-86.990599,865665.123966942
"COZUMEL",20.340924,-87.021331,4059200
"COZUMEL",20.340924,-87.021331,562320
"COZUMEL",20.552787,-86.923648,865665.123966942
"COZUMEL",20.512825,-86.947035,865665.123966942
"COZUMEL",20.479406,-86.973761,865665.123966942
"COZUMEL",20.499829,-86.960988,865665.123966942
"COZUMEL",20.507176,-86.952235,865665.123966942
"COZUMEL",20.491502,-86.966317,865665.123966942
"COZUMEL",20.502165,-86.956693,865665.123966942
"COZUMEL",20.507894,-86.949764,865665.123966942
"COZUMEL",20.507303,-86.952168,865665.123966942
"ISLA MUJERES",21.255785,-86.746321,104028.672
"ISLA MUJERES",21.257681,-86.748466,104028.672
"ISLA MUJERES",21.23885,-86.739212,149040
"ISLA MUJERES",21.238602,-86.739206,104028.672
"ISLA MUJERES",21.257281,-86.746763,104028.672
"ISLA MUJERES",21.258672,-86.749914,138700
"ISLA MUJERES",21.25706,-86.747066,104028.672
"ISLA MUJERES",21.257721,-86.747786,52140.8
"ISLA MUJERES",21.244969,-86.740413,104028.672
"ISLA MUJERES",21.256693,-86.74897,104028.672
"ISLA MUJERES",21.258516,-86.749918,104028.672
"ISLA MUJERES",21.245148,-86.740397,47520
"ISLA MUJERES",21.260119,-86.749749,138405
"ISLA MUJERES",21.258094,-86.749584,104028.672
"MAHAHUAL",18.715339,-87.708196,NA
"MAHAHUAL",18.718331,-87.707148,NA
"MAHAHUAL",18.719577,-87.706309,NA
"MAHAHUAL",18.723952,-87.70139,NA
"MAHAHUAL",18.715622,-87.707456,NA
"MAHAHUAL",18.704289,-87.714221,NA
"MAHAHUAL",18.715889,-87.708492,NA
"MAHAHUAL",18.713913,-87.709407,NA
"MAHAHUAL",18.719065,-87.706932,NA
"MAHAHUAL",18.703516,-87.714332,NA
"MAHAHUAL",18.719825,-87.706593,NA
"PLAYA DEL CARMEN",20.6261,-87.071109,648232.351111124
"PLAYA DEL CARMEN",20.650719,-87.075485,60000
"PLAYA DEL CARMEN",20.636611,-87.062242,648232.351111124
"PLAYA DEL CARMEN",20.635241,-87.063135,50792
"PLAYA DEL CARMEN",20.650678,-87.076934,648232.351111124
"PLAYA DEL CARMEN",20.635791,-87.07002,648232.351111124
"PLAYA DEL CARMEN",20.624199,-87.07603,648232.351111124
"PLAYA DEL CARMEN",20.625653,-87.072548,520000
"PLAYA DEL CARMEN",20.630419,-87.069323,648232.351111124
"PLAYA DEL CARMEN",20.638407,-87.063953,232500
"PLAYA DEL CARMEN",20.602728,-87.091177,648232.351111124
"PLAYA DEL CARMEN",20.630788,-87.070989,648232.351111124
"PLAYA DEL CARMEN",20.639512,-87.067288,648232.351111124
"PLAYA DEL CARMEN",20.659257,-87.093344,648232.351111124
"PLAYA DEL CARMEN",20.624351,-87.075185,648232.351111124
"PLAYA DEL CARMEN",20.631682,-87.066586,648232.351111124
"PLAYA DEL CARMEN",20.585351,-87.116594,648232.351111124
"PLAYA DEL CARMEN",20.682158,-87.052763,29104
"PLAYA DEL CARMEN",20.637528,-87.072479,480200
"PLAYA DEL CARMEN",20.627432,-87.070188,201600
"PLAYA DEL CARMEN",20.626389,-87.071782,648232.351111124
"PLAYA DEL CARMEN",20.637401,-87.066083,648232.351111124
"PLAYA DEL CARMEN",20.636672,-87.065871,51200
"PLAYA DEL CARMEN",20.626935,-87.078306,648232.351111124
"PLAYA DEL CARMEN",20.626589,-87.070503,648232.351111124
"PLAYA DEL CARMEN",20.62765,-87.072866,648232.351111124
"PLAYA DEL CARMEN",20.62397,-87.073733,648232.351111124
"PLAYA DEL CARMEN",20.723685,-86.976616,5768000
"PLAYA DEL CARMEN",20.522534,-87.192272,648232.351111124
"PLAYA DEL CARMEN",20.625664,-87.075402,648232.351111124
"PLAYA DEL CARMEN",20.626473,-87.07199,648232.351111124
"PLAYA DEL CARMEN",20.639171,-87.072289,648232.351111124
"PLAYA DEL CARMEN",20.668519,-87.028131,648232.351111124
"PLAYA DEL CARMEN",20.630363,-87.068846,172069.333333438
"PLAYA DEL CARMEN",20.632788,-87.063611,648232.351111124
"PLAYA DEL CARMEN",20.632818,-87.063628,648232.351111124
"PLAYA DEL CARMEN",20.624837,-87.076052,648232.351111124
"PUERTO MAYA",20.499794,-87.227378,NA
"PUERTO MAYA",20.503594,-87.224499,NA
"PUERTO MAYA",20.501531,-87.222899,NA
"PUERTO MORELOS",20.831347,-86.890297,217600
"PUERTO MORELOS",20.847139,-86.877037,26640
"PUERTO MORELOS",20.850234,-86.874705,80588
"PUERTO MORELOS",20.848802,-86.875872,19950
"PUERTO MORELOS",20.848754,-86.875828,80588
"PUERTO MORELOS",20.846962,-86.877154,39760
"PUERTO MORELOS",20.846426,-86.876376,80588
"PUERTO MORELOS",20.848179,-86.876233,80588
"PUERTO MORELOS",20.849669,-86.876196,77520
"PUERTO MORELOS",20.851674,-86.873531,80588
"TULUM",20.208827,-87.4515,NA
"TULUM",20.211102,-87.459063,NA
"TULUM",20.210514,-87.467499,NA
"TULUM",20.159501,-87.454474,NA
"TULUM",20.209516,-87.474049,NA
"TULUM",20.210489,-87.465394,NA
"TULUM",20.211608,-87.461966,NA
"TULUM",20.263441,-87.39364,NA
"TULUM",20.212642,-87.456908,NA
"TULUM",20.212501,-87.456345,NA
"XCALAK",18.280482,-87.834736,NA
"MERIDA",21.027422,-89.579896,66460
"MERIDA",21.033003,-89.622243,103182.1875
"MERIDA",21.00363,-89.607718,143100
"MERIDA",21.022219,-89.645131,153510
"MERIDA",20.987015,-89.630921,36320
